Timestamp,Grade,CanteenVisit,EatFreq,TimeOfDay,GroupSize,AvgSpend,FoodCat,MainReason,FoodQuality,FoodPrice,Cleanliness,QueueSys,QueueTime,Ambience,SeatComfort,AirCirc,OutOfStock,CantHours
20/05/2025 12:18,B27,Jarang atau tidak pernah,1,Siang,1,Rp 26.000 - Rp 30.000,Makanan berbasis nasi,Rasa makanan,5,4,5,5,5,5,5,5,3,5
20/05/2025 13:24,B27,Jarang atau tidak pernah,0,Siang,4,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Lokasi,3,2,4,3,3,4,4,4,1,4
20/05/2025 13:43,B27,Beberapa kali dalam satu minggu,2,Siang,2,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Lokasi,4,4,3,2,3,5,5,4,2,5
20/05/2025 13:45,B27,Beberapa kali dalam satu minggu,3,Siang,3,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Lokasi,4,4,4,3,3,3,3,3,2,3
20/05/2025 17:59,B27,Beberapa kali dalam satu minggu,2,Siang,3,Rp 21.000 - Rp 25.000,Cemilan ringan,Variasi makanan,5,5,5,3,3,5,5,2,4,5
20/05/2025 21:51,B27,Beberapa kali dalam satu minggu,3,Siang,3,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Lokasi,4,3,5,4,2,5,5,5,1,3
21/05/2025 23:37,B27,Beberapa kali dalam satu minggu,3,Siang,5,Rp 26.000 - Rp 30.000,Makanan berbasis nasi,Lokasi,3,4,3,2,3,3,3,3,2,4
22/05/2025 12:12,B26,Sehari sekali,3,Siang,2,Rp 21.000 - Rp 25.000,Makanan berbasis mie/kwetiau/bihun/dsb.,Lokasi,4,4,2,3,3,3,2,1,3,3
22/05/2025 21:29,B27,Beberapa kali dalam satu minggu,3,Pagi,3,Rp 16.000 - Rp 20.000,Makanan berbasis nasi,Lokasi,3,4,3,3,4,4,3,4,4,4
23/05/2025 10:10,B27,Sehari sekali,2,Siang,4,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Lokasi,4,4,5,3,4,5,4,5,5,4
23/05/2025 16:56,B26,Beberapa kali dalam sehari,4,Sore,3,Rp 21.000 - Rp 25.000,Makanan berbasis nasi,Fasilitas,4,3,4,3,4,4,4,1,3,4
